task_id,decision,delay_s,energy_j
0,0,0.18192529052304782,0.034011118244230476
1,0,0.12625118894528953,0.20965113107840289
2,0,0.07730638970796008,0.050350403195729594
3,0,0.1541259407872408,0.05378220012967241
4,0,0.18174789865754962,0.1181482186844755
5,0,0.2946766992686392,0.12442780542478638
6,0,0.19007628649425384,0.02949495642224254
7,0,0.12528034503982796,0.21278454088994828
8,0,0.21321449043807947,0.2041406258762308
9,0,0.11026579458154359,0.24745182175711544
10,0,0.2331638815311954,0.13650941764136196
11,0,0.08038813331739676,0.17509407407162395
12,0,0.08840494546501206,0.028566676321750122
13,0,0.07017006613546381,0.12142145063160464
14,0,0.11143089541300562,0.20495830050043007
15,0,0.22231161074358352,0.2467631803110358
16,0,0.10420958313824034,0.21341993201733242
17,0,0.1723234033421185,0.0672701657746712
18,0,0.0979789729413874,0.032273369511463874
19,0,0.11641877780444639,0.2134542245273945
20,0,0.12643410748179368,0.22118848794671792
21,0,0.09729962918027563,0.22285320537300277
22,0,0.17928732986451204,0.1374349024660451
23,0,0.08734009876085312,0.03273890611170853
24,0,0.10127407935214744,0.13032057980237147
25,0,0.1001503133274507,0.057008324278324515
26,0,0.1450279905763945,0.05783391042386394
27,0,0.13492356234763186,0.18285914412992632
28,0,0.07525268244089808,0.05839192763820899
29,0,0.08235463107949444,0.19996820591149495
30,0,0.17721792681808404,0.11810595035968084
31,0,0.10101393577153672,0.24703544545351536
32,0,0.1351283190231475,0.13504676199558147
33,0,0.1374032213212114,0.029957191187862116
34,0,0.128620489789923,0.1452201031097492
35,0,0.08955910679343106,0.23512615858333433
36,0,0.11702498214096724,0.06522453090250968
37,0,0.08712458586969438,0.243407557143047
38,0,0.1071033350967018,0.23685294828481704
39,0,0.1169300056796839,0.09080070593964684
40,0,0.29931417595485543,0.10294588971104855
41,0,0.2007042417662947,0.18484949561186295
42,0,0.20486504392506774,0.1765601189137007
43,0,0.1327871207344918,0.1394891109318449
44,0,0.13915917296107005,0.0645403934428107
45,0,0.09846789463731509,0.20335239580667314
46,0,0.1585671401161397,0.10276861826366139
47,0,0.18992970987255078,0.13312927585272552
48,0,0.15258882917232985,0.0741775048117733
49,0,0.161453557541409,0.15921992394226409
50,0,0.3290508441068719,0.17576411656911872
51,0,0.2529369117727403,0.24364420475407744
52,0,0.22442310579931046,0.20064211054459308
53,0,0.09149587123194428,0.08312338098886944
54,0,0.22660139393358478,0.15683936358523584
55,0,0.1141056324683607,0.2418988443848336
56,0,0.23799084285232672,0.10330528631512327
57,0,0.217453979352363,0.18603089516672364
58,0,0.17586986486021977,0.0426968121380522
59,0,0.24215277375224223,0.07494706647817242
60,0,0.32684290299689095,0.0826021991019689
61,0,0.1669779462959395,0.23094104478720942
62,0,0.35363102592647,0.1101852054634147
63,0,0.055173707263313505,0.24424123842283316
64,0,0.14712193603917217,0.1481953649111417
65,0,0.17214569081533235,0.10529958413875332
66,0,0.19226631713757486,0.2323579096528258
67,0,0.16698393007071846,0.13924186139230718
68,0,0.19855482952726183,0.2360772608372226
69,0,0.15777828518634285,0.2365496140848634
70,0,0.39117904723251473,0.09191335838797515
71,0,0.0951334468649591,0.033601924044449595
72,0,0.21121817136310622,0.08814474525893105
73,0,0.14848202775743466,0.17046057836557435
74,0,0.317203330155473,0.15824080559310474
75,0,0.1309237272839424,0.16044755224303944
76,0,0.2486028505250787,0.07510470086545079
77,0,0.1550046942630976,0.24008989342983098
78,0,0.2625383892540576,0.06153634534334057
79,0,0.2733164135146976,0.04321973895039697
80,0,0.2693971364324037,0.10170547485237404
81,0,0.16532869954946014,0.14198371279599462
82,0,0.40240939842048934,0.0426889299701049
83,0,0.10212003456593377,0.13773770107575936
84,0,0.2052596053939492,0.20373472255973948
85,0,0.23517758200227598,0.039145561090922765
86,0,0.16120442828595985,0.0988594889032596
87,0,0.16413844350269155,0.12944483013272692
88,0,0.18811161662003192,0.028405697938650318
89,0,0.15827364672940736,0.03257789369579408
90,0,0.35440054410670946,0.0314007907195171
91,0,0.06837924359511187,0.07325450164070112
92,0,0.34033164343835914,0.15192183853803357
93,0,0.20928099680204354,0.21274111887862043
94,0,0.24249072095985666,0.19217720565829857
95,0,0.16477859252163288,0.058099586056666326
96,0,0.15756213870252195,0.1934484781392252
97,0,0.1820272515668509,0.10209672296371851
98,0,0.2840354127289072,0.13646905229143905
99,0,0.2835183816370638,0.22739256460612067
100,0,0.46976997051066094,0.19367105772305662
101,0,0.09648722756961454,0.18334739147509616
102,0,0.3646753784207452,0.12514574962410743
103,0,0.2612700852199174,0.1678504394436492
104,0,0.23709251192589587,0.19992792981445895
105,0,0.21465636903292004,0.2095680600925292
106,0,0.3357236852961854,0.21288918882961186
107,0,0.321872015858678,0.09123844919128678
108,0,0.46930191199724974,0.1876486111818725
109,0,0.16563091916027692,0.16550124514930278
110,0,0.2274561473528826,0.05035860149177883
111,0,0.13502950183753268,0.20607994589737533
112,0,0.19102715048864063,0.1653316076994864
113,0,0.23330539417240778,0.22171245303497406
114,0,0.19926053025073787,0.11590201111405737
115,0,0.2327490389262701,0.0497857453395627
116,0,0.1561926870852067,0.16749994312875205
117,0,0.29733973035925365,0.03948300217194254
118,0,0.4735155671585733,0.05534653986988574
119,0,0.29192456609184303,0.052506230030168424
120,0,0.4282269469623837,0.09841370266697383
121,0,0.3107608009832294,0.07726967587918229
122,0,0.3357048127399723,0.05063337197119972
123,0,0.2799642602205308,0.1830743067069553
124,0,0.30232702379879095,0.06337659590823792
125,0,0.40975696787101573,0.12218186809471016
126,0,0.37271872258194694,0.03415726174346947
127,0,0.3248781544823682,0.2284761310640237
128,0,0.30317401542544464,0.14988127287255443
129,0,0.3505033976098929,0.10473904787314893
130,0,0.23718432967307088,0.2228702740388807
131,0,0.17230102712379256,0.07371073009718793
132,0,0.18443136937476293,0.20969298239439763
133,0,0.2902810830484817,0.16142029374193484
134,0,0.28060458751044715,0.07132464241450448
135,0,0.26201118229759485,0.20770609442137594
136,0,0.31742063287254774,0.23573389608652545
137,0,0.23322028878383402,0.041168565561538334
138,0,0.33775045438054774,0.15759928751710547
139,0,0.23104149741371985,0.1746908084988372
140,0,0.21673130555898787,0.06653829528378988
141,0,0.24087412079796383,0.02809077327407964
142,0,0.18889280727808402,0.045409527711680844
143,0,0.33254405087429734,0.10096482722504299
144,0,0.3126183682228877,0.16872054493487887
145,0,0.34876856425461406,0.15733774172609616
146,0,0.36190438723269625,0.10269798512012696
147,0,0.26253601814527516,0.06825722868195275
148,0,0.49806366335258473,0.16719840334017586
149,0,0.2984347489946315,0.09372846578579633
150,0,0.35236834763103647,0.18787122684226035
151,0,0.1800342435258158,0.11899948791725815
152,0,0.3339700361907575,0.07681888508520757
153,0,0.2527127321242357,0.20207837508804236
154,0,0.16725590384400646,0.20283030019229006
155,0,0.24589676358732623,0.05557188792687326
156,0,0.3448876265577398,0.041040520932677405
157,0,0.14225951011343532,0.18773629015808438
158,0,0.349538774488853,0.06374284709263853
159,0,0.3463637527108112,0.1281758046042081
160,0,0.3162920811434208,0.2433470276307842
161,0,0.18204976691809663,0.19008306812308096
162,0,0.3680010603461905,0.0865332158976119
163,0,0.44791089484506924,0.16487845216255068
164,0,0.3187829856036077,0.2042570064763361
165,0,0.3390331674554464,0.10876750302435448
166,0,0.29304452056727714,0.11271207098837278
167,0,0.22377735074087854,0.057531715256858774
168,0,0.3445560945239346,0.21133751248758934
169,0,0.269691275919928,0.08790997348784929
170,0,0.37231201932153,0.2067587162009653
171,0,0.24272217904747198,0.04665408839772472
172,0,0.364342971349615,0.09789009061069615
173,0,0.3537534739587056,0.22388787910493704
174,0,0.29988562493961446,0.05452997996299614
175,0,0.3216024950452528,0.18438119291880253
176,0,0.4061066382003581,0.1757795503151036
177,0,0.31985100949356116,0.1296023527692356
178,0,0.44091347220319144,0.22075672704793195
179,0,0.18227217541044902,0.16804397010425448
180,0,0.41217514669119143,0.10988785501471192
181,0,0.26662397689937495,0.24860733296074375
182,0,0.19606640379805268,0.16821141073728052
183,0,0.36074066331082993,0.0587858079952583
184,0,0.29733765401325774,0.21692360043563258
185,0,0.31454555775911036,0.07107662262639111
186,0,0.22571802383965944,0.1966978988154966
187,0,0.28636742200324117,0.20597606561563242
188,0,0.23343164764502278,0.24541891208200026
189,0,0.1878896661564009,0.085459169263164
190,0,0.2970352821964935,0.12832569648801492
191,0,0.1949147952659492,0.1419468663079595
192,0,0.3555807015181939,0.04931502384108194
193,0,0.4783167972316076,0.04862991636841608
194,0,0.1925043230230128,0.15002479710428013
195,0,0.4443743051124723,0.1459694365002747
196,0,0.2700299354953602,0.0942581138790036
197,0,0.3356499919212106,0.2163547469981621
198,0,0.41450337493115913,0.05997714884256159
199,0,0.2957680173587644,0.20475579122783763
200,0,0.2978581750444172,0.07379394309499417
201,0,0.2587117516452444,0.18298569183420244
202,0,0.232006985973793,0.24278090482238796
203,0,0.28708995755900396,0.16962325068394007
204,0,0.34460592873549495,0.13079528984625494
205,0,0.29707469115453145,0.19621396528659532
206,0,0.33899516221323733,0.08850470701578236
207,0,0.2355137649062312,0.24256075991446233
208,0,0.19832537452831245,0.14408351200848313
209,0,0.18484823202297732,0.21495151093867976
210,0,0.2807322088680135,0.13439214460973012
211,0,0.3350579647351746,0.07078044847585174
212,0,0.3596582697753694,0.22578898032875372
213,0,0.4990217757848661,0.25284258011929867
214,0,0.34089184919872734,0.03415765426463727
215,0,0.36128299380814555,0.04223814832908145
216,0,0.21157927690020764,0.032381817853102075
217,0,0.21427537893389995,0.075525777498689
218,0,0.2893111684975201,0.0906846021245252
219,0,0.19792868834930244,0.18517293382489303
220,0,0.37962273280251846,0.05634716828737518
221,0,0.24859703284892282,0.21770644337333922
222,0,0.22555196088987173,0.2386706006341987
223,0,0.47342350834641106,0.22876470027741413
224,0,0.3377205399329053,0.13981942124737906
225,0,0.211704501256737,0.05075200882401737
226,0,0.4559975561349505,0.1014031500519495
227,0,0.1768514012924823,0.09538529891052483
228,0,0.18564586041189457,0.12127021857461895
229,0,0.4112855106925023,0.17438918002952503
230,0,0.4560609891647526,0.09014605712809752
231,0,0.29055046574882487,0.13671650060478827
232,0,0.3353974732620715,0.09991814428537071
233,0,0.36706252419778557,0.24977724282222785
234,0,0.1686621269711571,0.13106634039966159
235,0,0.3468394808917787,0.16196199874711778
236,0,0.2644592510390456,0.19148842893784043
237,0,0.2069457362537114,0.1790963356543871
238,0,0.30762624549065715,0.03197836137880657
239,0,0.49798595188039263,0.061188759989903925
240,0,0.28345612064494063,0.0734445396357994
241,0,0.38537604664791225,0.24229136690577913
242,0,0.18492397283330345,0.205911475367083
243,0,0.2681065779471634,0.21697669258057165
244,0,0.2880447287768201,0.22073412458641822
245,0,0.19310836100468112,0.13047786086169683
246,0,0.3574126956814401,0.12660527230551438
247,0,0.4135554673306816,0.19600386883420684
248,0,0.21956106701383904,0.2202810651040884
249,0,0.29561452096152535,0.18735428395446527
250,0,0.30896899486366475,0.08703846583483665
251,0,0.4165060370611875,0.18384429708466188
252,0,0.213154055361662,0.1415478849569666
253,0,0.2869543263046964,0.07614919090174696
254,0,0.2307156572729269,0.06487644596157927
255,0,0.1785659515450538,0.14463235646105055
256,0,0.46359705413649904,0.102496788712515
257,0,0.4393220267774369,0.2395893581304744
258,0,0.17116936747734338,0.09070755244247343
